PT United Transindo - Sidoarjo Office,4.2,15,"Jl. Raya Lingkar Timur, Sinar Buduran II Blok A No. 9, Prasung, Buduran, Jalan, Prasungtani, Prasung, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJActMdiLk1y0R4tzlL8Rbgh8
PT. Delta Winasha,0,0,"HPF5+GH7, Jl. Kesatrian, Sidopurno 2, Sidokepung, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJwSb6WEnj1y0RX0Zs5xW0p28
PT. Alfrindo Karya Tama,4.7,6,"Sentra Niaga Melrose Place Blok A No. 14, Perum Citra Garden, Entalsewu, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJr5UVBkTh1y0RdA21l4mtxpU
PT Pusaka Transindo,4.1,22,"Jl. Ahmad Yani No.29, Megersari, Gedangan, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJL06iZIjk1y0RhTPoEocFbbs
PT.WIRATANU PERSADA TAMA SIDOARJO,4.5,15,"HP48+8G4, Gajah Timur, Magersari, Sidoarjo Regency",http://wiratanupersadatama.com/,https://www.google.com/maps/place/?q=place_id:ChIJwz58W7Pm1y0RsL0Z7ZGj3Lg
PT . Murni Anugrah Mandiri,4.7,20,"HPRF+77M, Jl. Gatot Subroto, Tebel Barat, Tebel, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJS94Vldzl1y0Rbaw1Qcmdlt4
PT. SUNCITY ANUGERAH MANDIRI,0,0,"Komp. Ruko Pd. Mutiara, N-12, Jl. Pahlawan No.9C, Jetis, Lemahputro, Sidoarjo Regency",,https://www.google.com/maps/place/?q=place_id:ChIJvUTL3Ufh1y0R-D0y6VTLKIM
PT. Senopati Mega Nusantara,5,5,"HP23+XGQ, Jl. Jatisari Indah, Wismasarinadi, Magersari, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJGze2cFzh1y0RpgRE94Ueu-4
PT. Rajawali Hiyoto Dan PT. Osindo Bahagia Bersama Cabang Surabaya,4,26,"Jl. Santren No.51, Dusun Gambir Anom, Keboananom, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJXY8O7Ifj1y0RVWWxZzg5ICQ
"Tensindo Kreasi Nusantara, PT",4.6,5,"HM2M+FX7, Puri Indah Blok P no, 12, Suko, Sidoarjo Regency",http://www.tensindo-mstgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJ46dHgGzh1y0RjTcnRSyBUfU
PT.United Technindo Selaras,4.5,10,"Kompleks pergudangan permata gedangan Ac-29, Bohar Timur, Bohar, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJmWSc-ILk1y0RyRs1jgQuSNs
PT. Saraswanti Utama,4.9,9,"Jl. Raya Bandara Juanda Surya Inti Permata Juanda, Super Blok A52, Sedati Kulon, Wedi, Kabupaten Sidoarjo",http://www.saraswanti.com/,https://www.google.com/maps/place/?q=place_id:ChIJL3DlsjHl1y0RcQdOCwaYjtA
PT Selnet Optima EJ,4,5,"HM9R+JX9, Sumput, Sidoarjo Regency",,https://www.google.com/maps/place/?q=place_id:ChIJifXf9V_h1y0RBz-e5mrCwvc
PT MUSTIKA DHARMAJAYA (new era lama),4.5,14,"JQ54+MQX, Jl. Raya Betro, Kepuh, Wedi, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJRSeCS7vl1y0RvUQOO9Z0Phw
PT Hisamitsu Pharma Indonesia,4.3,59,"HPMF+PXX, Jl. HR. Moch. Mangundiprojo, Buduran, Banjarkemantren, Kabupaten Sidoarjo",https://id.hisamitsu/home,https://www.google.com/maps/place/?q=place_id:ChIJMWDBK6zm1y0RpHJA2aas1O8
PT USAHA BAKTI PERKASA,4.4,26,"Jalan Lingkar Timur No.1, Area Sawah, Kemiri, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJE7ulNbTn1y0R7AUhldCwZY8
PT. Ardendi Jaya Sentosa,4.3,11,"Jl. Surowongso No.359, Rw. 9, Karangbong, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJ3W1Y-Yrj1y0R0Eb42oUhEEU
PT. Bumi Lancang Kuning Pusaka (Surabaya),4.6,20,"Pergudangan Central Industrial Park (CIP, Jl. Lingkar Timur No.KM. 4 Kav. C1-C6, Area Sawah, Kemiri, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJexcpI1Dk1y0Rc-CVeE7e1yk
PT Integra Indocabinet,3.8,214,"JQ54+RHM, Jl. Raya Betro, Wedi, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJm_JdGljk1y0R0obOl6BMsN0
PT. Berkah Lancar Abaditama,3.7,36,"Griya Taman Cipta Karya, Jalajn Edelweis Blok E 185, Bohar, Taman, Balun, Bohar, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJ2WzgSHDj1y0RIJJaU990abY
Pt Arina Multikarya Buduran,4.3,16,"HPHJ+M38, Jl. Jawa, Binangun, Wadungasih, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJOzErVhrk1y0RGA_HWL1IEng
PT HERVITAMA INDONESIA,4.6,40,"Sungon, Suko, Sidoarjo Regency",https://hervitama.co.id/,https://www.google.com/maps/place/?q=place_id:ChIJTVUpU9Xh1y0R2luSkE143e8
"Kurnia Inti Pratama, PT",4.4,39,"Griya Villa Derma, Jalan Griya Villa Derma Blk. A No.1, Dusun Kemendung, Sidodadi, Kabupaten Sidoarjo",,https://www.google.com/maps/place/?q=place_id:ChIJDXasxu3i1y0Rr5fAL6PBRzE
